Comment,Designator,Footprint,LCSC Part #（optional）
10k,"R2, R4, R5, R6, R7, R8, R9, R10, R11, R12, R15, R16, R17, R18, R19, R20, R22, R23",0402_R,C25744
100nF,"C2, C3, C4, C5, C7, C10, C15, C18, C19, C20",0402_C,C1525
10uF,"C1, C6, C13",0603_C,C19702
22uF,"C14, C16, C17",0603_C,C59461
SS34,"D2, D3, D4",SMA,C408258
K2-1808SN-A4SW-01,"B1, B2",SMD,C92589
4.7uF,"C11, C12",0402_C,C23733
1M,"R1, R24",0402_R,C26083
2450AT18D0100E,ANT1,,
WS2812B-B,D1,LED-4_5050,C114586
YNR3015-2R2M,L1,SMD_3.0x3.0x1.5mm,C340359
VLS3015ET-3R3M,L2,IND-SMD,C136236
DM3CS-SF,P1,TF-SMD,C202111
MicroXNJ,P2,SMD,C404969
AO3400A,Q1,SOT-23-3L,C20917
AO3401A,Q2,SOT-23-3L,C15127
2k,R13,0402_R,C4109
75k,R14,0402_R,C25798
1k,R21,0402_R,C11702
0,R3,0402_R,C17168
MAX98357AETE+T,U1,TQFN-16,C910544
TXB0101DCKR,U2,SC-70-6,C324081
ESP32-PICO-D4,U3,QFN-48_EP_7.0x7.0x0.5P,C193707
TPS62082,U4,WDFN-8_EP_2.0x2.0x0.5P,C485809
MCP73832,U5,SOT-23-5,C38066
FP6291LR-G1,U6,SOT-23-6L,C18701
BH1721FVC,U7,WSOF-5,C184130